CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"8256","POLS 101","5","Power and Politics in America","3","  AIDE","Lec","TR","1800-1915","MCM 316","Scroggs, Matt","0","Closed",
"8258","POLS 101","6","Power and Politics in America","3","  AIDE","Lec","MWF","1100-1150","MCM 364","Lynerd, Benjamin","0","Closed",
"8260","POLS 101","8","Power and Politics in America","3","  AIDE","Lec","MWF","1300-1350","MCM 366","Bromley-Trujillo, Rebecca","0","Closed",
"8261","POLS 101","9M","Power and Politics in America","3","  AIDE","Lec","MWF","1400-1450","MCM 366","Bromley-Trujillo, Rebecca","3","Open",
"8262","POLS 202","1","State and Local Government","3","","Lec","W","1800-2100","MCM 316","Maddrea, Blair","3","Open",
"8263","POLS 204","1","Hate Crime Realities &amp; Consequ","3","","Lec","TR","0930-1045","MCM 366","Greenlee, Harry","0","Closed",
"8264","POLS 204","2","Hate Crime Realities &amp; Consequ","3","","Lec","TR","1100-1215","MCM 366","Greenlee, Harry","0","Closed",
"8265","POLS 215","1","Comprtv &amp; Intnl Politics","3","","Lec","MWF","1000-1050","MCM 310","Rizova, Tatiana","3","Open",
"8266","POLS 215","2M","Comprtv &amp; Intnl Politics","3","","Lec","MWF","1100-1150","MCM 310","Nelson, Devon","3","Open",
"8267","POLS 215","3","Comprtv &amp; Intnl Politics","3","","Lec","MWF","1200-1250","MCM 357","Sun, Taiyi","3","Open",
"8268","POLS 215","4","Comprtv &amp; Intnl Politics","3","","Lec","MWF","1300-1350","MCM 357","Sun, Taiyi","2","Open",
"8269","POLS 215","5","Comprtv &amp; Intnl Politics","3","","Lec","M","1800-2100","MCM 366","Tacosa, Corliss","6","Open",
"8271","POLS 240","1","The Sprme Court in Amer Politi","3","  AIDE","Lec","TR","1100-1215","TRIB 208","Carlson, Peter","0","Closed",
"8270","POLS 291","1","Community Service Internship","1 - 3","","Int","","","ARR ","Barnello, Michelle","3","Open",
"8272","POLS 316","1","Constitutional Law","3","","Lec","TR","1800-1915","MCM 366","Campolongo, John","2","Open",
"8273","POLS 316","2","Constitutional Law","3","","Lec","TR","1930-2045","MCM 366","Campolongo, John","6","Open",
"8274","POLS 322","1","Conflict and Peace Studies","3","","Lec","TR","1330-1445","MCM 216","Chaudhry, Suparna","0","Closed",
"8275","POLS 322","2","Conflict and Peace Studies","3","","Lec","TR","1500-1615","MCM 216","Chaudhry, Suparna","0","Closed",
"8276","POLS 330","1","Middle Eastern Politics","3","","Lec","TR","0930-1045","MCM 114","Chouhoud, Youssef","0","Closed",
"8278","POLS 344","1","The Presidency","3","","Lec","TR","1100-1215","MCM 364","Camobreco, John","0","Closed",
"8279","POLS 344","2","The Presidency","3","","Lec","TR","1330-1445","MCM 364","Camobreco, John","0","Closed",
"8280","POLS 352","1","Rsrch Methds &amp; Quant Analysis","3","","Lec","TR","1330-1445","MCM 110","Chouhoud, Youssef","1","Open",
"8281","POLS 352","2","Rsrch Methds &amp; Quant Analysis","3","","Lec","TR","1500-1615","MCM 110","Chouhoud, Youssef","1","Open",
"8282","POLS 352","3","Rsrch Methds &amp; Quant Analysis","3","","Lec","MWF","0900-0950","MCM 110","Shelton, Crystal","0","Closed",
"8283","POLS 354","1","Political Campaigns/Elections","3","","Lec","MWF","1400-1450","MCM 164","Bitecofer, Rachel","1","Open",
"8284","POLS 359","1","American Political Thought","3","","Lec","MW","1600-1715","MCM 112","Lynerd, Benjamin","1","Open",
"9258","POLS 371","1","WI: Public Admin &amp; Policy","3","  WI","Lec","R","1800-2100","MCM 360","Reiske, William","2","Open",
"8296","POLS 381","1","Internationl Political Economy","3","","Lec","MWF","1500-1550","MCM 366","Sun, Taiyi","0","Closed",
"8286","POLS 391","1","Int&#39;l Environmental Politics","3","","Lec","TR","0930-1045","FERG 221","Kirkpatrick, Andrew","0","Closed",
"8287","POLS 391","2","Int&#39;l Environmental Politics","3","","Lec","TR","1100-1215","FERG 221","Kirkpatrick, Andrew","1","Open",
"9261","POLS 395","1","SPC TP:US Envrnmtl Policy","3","","Lec","MWF","0900-0950","MCM 114","Bromley-Trujillo, Rebecca","1","Open",
"9262","POLS 395","2","SPC TP:Coercion and Crises","3","","Lec","TR","1630-1745","MCM 160","Scroggs, Matt","1","Open",
"9263","POLS 395","3","SPC TP:State Legislatures","3","","Lec","M","1930-2230","MCM 360","Finch, Jeffrey; Maddrea, Blair","3","Open",
"8288","POLS 402","1","WI: Intl Rltns Theory/Wrld Iss","3","  WI","Lec","MWF","1300-1350","MCM 364","Shelton, Crystal","1","Open",
"8290","POLS 402","2","WI: Intl Rltns Theory/Wrld Iss","3","  WI","Lec","MWF","1400-1450","MCM 364","Shelton, Crystal","0","Closed",
"8291","POLS 490","1","WI:Senior Seminar in Poli Sci","3","  WI","Lec","MWF","1000-1050","MCM 300B","Shelton, Crystal","2","Open",
"8292","POLS 490","2","WI:Senior Seminar in Poli Sci","3","  WI","Lec","TR","0930-1045","MCM 300D","Camobreco, John","1","Open",
"8293","POLS 490","3","WI:Senior Seminar in Poli Sci","3","  WI","Lec","MW","1600-1715","MCM 300B","Rizova, Tatiana","0","Closed",
"8294","POLS 491","1","Political Science Internship","3","","Int","","","ARR ","Greenlee, Harry","12","Open",
"8814","PSYC 201","1M","Inv Biol Bases of Beh &amp; Cogn","3","  AINW","Lec","MWF","1300-1350","FORBES 1022","Gibbons, Jeffrey","3","Open",
"8815","PSYC 201","2M","Inv Biol Bases of Beh &amp; Cogn","3","  AINW","Lec","MWF","1100-1150","FORBES 1022","Greenlee, Shelia","3","Open",
"8816","PSYC 201","3M","Inv Biol Bases of Beh &amp; Cogn","3","  AINW","Lec","TR","0930-1045","FORBES 1022","Marshall, Timothy","4","Open",
"9381","PSYC 201","4M","Inv Biol Bases of Beh &amp; Cogn","3","  AINW","Lec","MW","1800-1915","MCM 260","Lyons, Jason","3","Open",
"8817","PSYC 202","1M","Inv Socl Contxt of Beh &amp; Cogn","3","","Lec","TR","1100-1215","MCM 101","Cartwright, Kelly","0","Closed",
"8818","PSYC 202","2M","Inv Socl Contxt of Beh &amp; Cogn","3","","Lec","MW","1600-1715","FORBES 1022","Catanzaro, Diane","5","Open",
"8819","PSYC 207","1","Lifespan Development","3","","Lec","TR","1500-1615","FORBES 2070D","Frieden, Fredrick","2","Open",
"8820","PSYC 208","1M","Child Development","3","","Lec","MWF","0800-0850","FORBES 2074","Greenlee, Shelia","29","Open",
"8821","PSYC 208","2","Child Development","3","","Lec","MWF","0900-0950","FORBES 2074","Greenlee, Shelia","4","Open",
"8822","PSYC 208","3","Child Development","3","","Lec","TR","1800-1915","FORBES 2070D","Mozo, Courtney","1","Open",
"8823","PSYC 208","4M","Child Development","3","","Lec","TR","1930-2045","FORBES 2070D","Mozo, Courtney","8","Open",
"8824","PSYC 208","5","Child Development","3","","Lec","MW","1800-1915","MCM 216","Sulzberger, Robert","16","Open",
"8825","PSYC 208","6M","Child Development","3","","Lec","MW","1930-2045","MCM 216","Sulzberger, Robert","18","Open",
"8826","PSYC 300","1","Statistical Appl-Soc Sci Rsrch","3","","Lec","TR","1100-1215","FORBES 2090","Niehaus, Jeffrey","0","Closed",
"8827","PSYC 300","2","Statistical Appl-Soc Sci Rsrch","3","","Lec","MWF","1300-1350","FORBES 2090","Niehaus, Jeffrey","0","Closed",
"8828","PSYC 300","3","Statistical Appl-Soc Sci Rsrch","3","","Lec","MWF","1400-1450","FORBES 2090","Niehaus, Jeffrey","2","Open",
"8829","PSYC 301","1","WI:Research Mthds in Psych","3","  WI","Lec","MWF","1400-1450","FORBES 2002","Lange, Michelle","0","Closed",
"8830","PSYC 301","2","WI:Research Mthds in Psych","3","  WI","Lec","MWF","1000-1050","FORBES 2090","Pressley, Timothy","0","Closed",
"8831","PSYC 301","3","WI:Research Mthds in Psych","3","  WI","Lec","TR","0930-1045","FORBES 2009","Rollins, Leslie","0","Closed",
"8832","PSYC 301","4","WI:Research Mthds in Psych","3","  WI","Lec","TR","1500-1615","FORBES 2090","Stone, Lindsey","0","Closed",
"8833","PSYC 301L","1","Research Methods Laboratory","1","","Lab","MWF","1500-1550","FORBES 2002","Lange, Michelle","0","Closed",
"8834","PSYC 301L","2","Research Methods Laboratory","1","","Lab","MWF","1100-1150","FORBES 2090","Pressley, Timothy","0","Closed",
"8835","PSYC 301L","3","Research Methods Laboratory","1","","Lab","TR","1100-1215","FORBES 2009","Rollins, Leslie","0","Closed",
"8836","PSYC 301L","4","Research Methods Laboratory","1","","Lab","TR","1630-1745","FORBES 2090","Stone, Lindsey","0","Closed",
"8837","PSYC 303","1","Industrial/Organizational Psyc","3","","Lec","TR","1330-1445","FORBES 2070C","Catanzaro, Diane","0","Closed",
"8839","PSYC 304","1","Social Psychology","3","","Lec","MWF","1400-1450","FORBES 2070D","Hart, Jason","0","Closed",
"8840","PSYC 306","1","History and Systems of Psych","3","","Lec","MWF","0900-0950","FORBES 2070E","Doolittle, Dorothy","2","Open",
"8841","PSYC 306","2","History and Systems of Psych","3","","Lec","MWF","1000-1050","FORBES 2070E","Doolittle, Dorothy","3","Open",
"8842","PSYC 312","1","Educational Psychology","3","","Lec","TR","1500-1615","FORBES 2070A","Riggins, Earl","0","Closed",
"8843","PSYC 312","2","Educational Psychology","3","","Lec","MWF","1400-1450","FORBES 2074","Riggins, Earl","11","Open",
"8844","PSYC 312","3","Educational Psychology","3","","Lec","MWF","1500-1550","FORBES 2074","Riggins, Earl","30","Open",
"8845","PSYC 314","1","Psychology of Personality","3","","Lec","TR","1100-1215","FORBES 2074","Lee, Sherman","1","Open",
"8846","PSYC 314","2","Psychology of Personality","3","","Lec","TR","1330-1445","FORBES 2074","Lee, Sherman","0","Closed",
"8847","PSYC 315","1","Psychology-Abnormal Behavior","3","","Lec","TR","0930-1045","FORBES 2074","Lange, Michelle","0","Closed",
"8848","PSYC 315","2","Psychology-Abnormal Behavior","3","","Lec","TR","0800-0915","FORBES 2074","Lange, Michelle","11","Open",
"8849","PSYC 315","3","Psychology-Abnormal Behavior","3","","Lec","MW","1600-1715","FORBES 2070E","Stone, Lindsey","0","Closed",
"8852","PSYC 316","1","Cognitive Psychology","3","","Lec","MWF","1300-1350","FORBES 2015","Lipatova, Olga","1","Open",
"8850","PSYC 327","1","Theories &amp; Prin of Child Devel","3","","Lec","MWF","0800-0850","FORBES 2088","Hunter, Laurie","1","Open",
"8851","PSYC 350","1","Forensic Psychology","3","","Lec","TR","1330-1445","FORBES 2015","Frieden, Fredrick","2","Open",
"8853","PSYC 404","1","Biopsychology","3","","Lec","MWF","0900-0950","FORBES 2009","Campolattaro, Matthew","0","Closed",
"8854","PSYC 404L","1","Biopsychology Lab","1","","Lab","W","1400-1645","FORBES 2009","Campolattaro, Matthew","0","Closed",
"8855","PSYC 405","1","Motivation and Emotion","3","","Lec","MWF","1000-1050","FORBES 2070C","Hunter, Laurie","0","Closed",
"8856","PSYC 405L","1","Motivation and Emotion Lab","1","","Lab","MWF","1100-1150","FORBES 2009","Hunter, Laurie","0","Closed",
"8857","PSYC 405L","2","Motivation and Emotion Lab","1","","Lab","MWF","1200-1250","FORBES 2009","Hunter, Laurie","0","Closed",
"8858","PSYC 409","1","Behvr Medicine/Hlth Psyc","3","","Lec","TR","1630-1745","FORBES 2070E","Berry, Thomas","0","Closed",
"8859","PSYC 409L","1","Behvr Medicine/Hlth Psyc Lab","1","","Lab","TR","1800-1915","FORBES 2088","Berry, Thomas","0","Closed",
"9328","PSYC 409L","2","Behvr Medicine/Hlth Psyc Lab","1","","Lab","W","1800-2045","FORBES 2090","Berry, Thomas","0","Closed",
"8860","PSYC 415","1","Comparative Psychology","3","","Lec","MWF","0800-0850","FORBES 2009","Velkey, Andrew","0","Closed",
"8861","PSYC 415L","1","Comparative Psychology Lab","1","","Lab","M","1400-1645","FORBES 2009","Velkey, Andrew","0","Closed",
"8862","PSYC 420","1","Human Sexuality","3","","Lec","TR","1630-1745","FORBES 2070D","Frieden, Fredrick","0","Closed",
"8867","PSYC 444","1","Psychology of Creat/Crit Think","3","","Lec","MWF","1100-1150","FORBES 2074","Dow, Gayle","0","Closed",
"8868","PSYC 444L","1","Psyc of Creat/Crit Think Lab","1","","Lab","MWF","1200-1250","FORBES 2002","Dow, Gayle","0","Closed",
"8869","PSYC 444L","2","Psyc of Creat/Crit Think Lab","1","","Lab","MWF","1300-1350","FORBES 2002","Dow, Gayle","0","Closed",
"8863","PSYC 490","1","WI: Senior Seminar in Psych","3","  WI","Lec","MWF","1200-1250","FORBES 2012","Doolittle, Dorothy","0","Closed",
"8864","PSYC 490","2","WI: Senior Seminar in Psych","3","  WI","Lec","MWF","1000-1050","FORBES 2002","Hart, Jason","0","Closed",
"8865","PSYC 490","3","WI: Senior Seminar in Psych","3","  WI","Lec","MWF","1100-1150","FORBES 2002","Hart, Jason","0","Closed",
"8866","PSYC 490","4","WI: Senior Seminar in Psych","3","  WI","Lec","TR","1330-1445","FORBES 2009","Niehaus, Jeffrey","0","Closed",
"9440","PSYC 499","1","IND ST:Nomophobia","1","","Ind","","","ARR ","Greenlee, Shelia; Doolittle, Dorothy","0","Closed",
"9518","PSYC 499","2","IND ST:Fading Affect Bias &amp; R","2","","Ind","","","ARR ","Gibbons, Jeffrey","0","Closed",
"8233","PSYC 521","1","Reading Acquisition &amp; Devlpmnt","3","","Lec","M","1600-1845","FORBES 2012","Savage, Donna","4","Open",
"8234","PSYC 521","2","Reading Acquisition &amp; Devlpmnt","3","","Lec","T","1630-1915","FORBES 2012","Swords, Rachel Ann","3","Open",
"8235","PSYC 521L","1","Reading Acquisition &amp; Dev Lab","1","","Lab","T","0930-1130","FORBES 2012","Powell, Linda","0","Closed",
"8236","PSYC 521L","2","Reading Acquisition &amp; Dev Lab","1","","Lab","R","0930-1130","FORBES 2012","Powell, Linda","0","Closed",
"8237","PSYC 535","1","Exceptional Learner","3","","Lec","M","1900-2145","FORBES 2014","Lee, Sherman","0","Closed",
"8238","PSYC 535","2","Exceptional Learner","3","","Lec","R","1630-1915","FORBES 2014","Sulzberger, Robert","0","Closed",
"8239","PSYC 544","1","Assessment of Learning","3","","Lec","W","1600-1845","FORBES 2074","Pressley, Timothy","0","Closed",
"9061","RSTD 210","1M","Interfaith Studies","3","  AIGM","Lec","MWF","1200-1250","MCM 260","Timani, Hussam","0","Closed",
"9077","RSTD 211","1M","Religions of the East","3","  AIGM","Lec","MWF","0900-0950","MCM 210","Curtis, Margaret","0","Closed",
"9078","RSTD 211","2","Religions of the East","3","  AIGM","Lec","MWF","1000-1050","MCM 314","Curtis, Margaret","0","Closed",
"9079","RSTD 211","3M","Religions of the East","3","  AIGM","Lec","TR","1100-1215","FERG 208","Thompson, John","0","Closed",
"9080","RSTD 211","4M","Religions of the East","3","  AIGM","Lec","TR","1500-1615","MCM 362","Schweig, Graham","2","Open",
"9081","RSTD 211","5M","Religions of the East","3","  AIGM","Lec","TR","1630-1745","MCM 362","Schweig, Graham","2","Open",
"9072","RSTD 212","1M","Religions of the West","3","  AIWT","Lec","TR","1930-2045","MCM 310","Freund, Richard","4","Open",
"9073","RSTD 212","2","Religions of the West","3","  AIWT","Lec","MWF","1500-1550","MCM 314","Fallon, Kerry","1","Open",
"9074","RSTD 212","3","Religions of the West","3","  AIWT","Lec","MW","1600-1715","MCM 314","Fallon, Kerry","0","Closed",
"9075","RSTD 212","4","Religions of the West","3","  AIWT","Lec","MW","1600-1715","MCM 310","Strehle, Stephen","6","Open",
"9076","RSTD 212","5M","Religions of the West","3","  AIWT","Lec","TR","2100-2215","MCM 210","Freund, Richard","10","Open",
"9062","RSTD 220","1","The Vision of Hinduism","3","","Lec","W","1800-2045","MCM 362","Schweig, Graham","4","Open",
"9069","RSTD 232","1M","The Vision of Christianity","3","  AIWT","Lec","MWF","0900-0950","MCM 307","Hutchinson, Dawn","0","Closed",
"9070","RSTD 232","2M","The Vision of Christianity","3","  AIWT","Lec","TR","0800-0915","MCM 366","Gardner, Patrick","0","Closed",
"9071","RSTD 232","3R","The Vision of Christianity","3","  AIWT","Lec","TR","1330-1445","MCM 307","Gardner, Patrick","1","Open",
"9068","RSTD 236","1M","Sacred Comm, Sacred Journeys","3","  AIWT","Lec","TR","1630-1745","MCM 114","Redick, Kip","3","Open",
