CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"8883","ACCT 200","1","Accounting Concepts","3","","Lec","MWF","0800-0850","LUTR 137","Staff, CNU","0","Closed",
"8884","ACCT 200","2","Accounting Concepts","3","","Lec","MWF","0900-0950","LUTR 139","Staff, CNU","0","Closed",
"8885","ACCT 201","1","Prin of Account I: Financial","3","","Lec","MW","1600-1715","LUTR 139","Staff, CNU","0","Closed",
"8886","ACCT 201","2","Prin of Account I: Financial","3","","Lec","MWF","1000-1050","LUTR 242","Staff, CNU","0","Closed",
"8887","ACCT 201","3","Prin of Account I: Financial","3","","Lec","MWF","1100-1150","LUTR 139","Staff, CNU","0","Closed",
"8888","ACCT 201","4","Prin of Account I: Financial","3","","Lec","MWF","1300-1350","LUTR 139","Paige, Vivian","3","Open",
"8889","ACCT 201","5","Prin of Account I: Financial","3","","Lec","MWF","1400-1450","LUTR 142","Witt, Alan","0","Closed",
"8890","ACCT 201","6","Prin of Account I: Financial","3","","Lec","MWF","1400-1450","LUTR 139","Paige, Vivian","11","Open",
"8891","ACCT 201","7","Prin of Account I: Financial","3","","Lec","MWF","0800-0850","LUTR 142","Staff, CNU","12","Open",
"8892","ACCT 201","8","Prin of Account I: Financial","3","","Lec","MWF","0900-0950","LUTR 170","Staff, CNU","0","Closed",
"8893","ACCT 201","9","Prin of Account I: Financial","3","","Lec","TR","1630-1745","LUTR 137","Staff, CNU","0","Closed",
"8894","ACCT 202","1","Prin of Account II: Managerial","3","","Lec","TR","1630-1745","LUTR 242","Chung, Keun Ho","0","Closed",
"8895","ACCT 202","2","Prin of Account II: Managerial","3","","Lec","TR","1800-1915","LUTR 242","Chung, Keun Ho","9","Open",
"8896","ACCT 301","1","Intermediate Accounting I","3","","Lec","TR","1330-1445","LUTR 139","Frucot, Veronique","0","Closed",
"8897","ACCT 301","2","Intermediate Accounting I","3","","Lec","TR","1500-1615","LUTR 139","Frucot, Veronique","11","Open",
"8898","ACCT 302","1","Intermediate Accounting II","3","","Lec","MWF","1000-1050","LUTR 131","Staff, CNU","2","Open",
"8899","ACCT 401","1","Taxation","3","","Lec","MW","1600-1715","LUTR 264","Paige, Vivian","0","Closed",
"8900","ACCT 401","2","Taxation","3","","Lec","MW","1800-1915","LUTR 264","Paige, Vivian","0","Closed",
"8901","ACCT 405","1","Auditing","3","","Lec","MWF","1100-1150","LUTR 137","Staff, CNU","0","Closed",
"8902","ACCT 405","2","Auditing","3","","Lec","MWF","1300-1350","LUTR 137","Staff, CNU","4","Open",
"8903","ACCT 451","1","Govt &amp; Nonprof Acctng &amp; Topics","3","","Lec","TR","0930-1045","LUTR 137","Frucot, Veronique","1","Open",
"9187","ACCT 502","1","Adv Tax Planning &amp; Research","3","","Lec","TR","1500-1615","LUTR 142","Bogenschneider, Bret","24","Open",
"8197","AMST 100","1M","The American Experiment","3","  AIDE  ","Lec","MWF","1000-1050","MCM 212","Garmon, Frank","0","Closed",
"8198","AMST 100","2M","The American Experiment","3","  AIDE  ","Lec","MWF","1100-1150","MCM 212","Garmon, Frank","0","Closed",
"8199","AMST 100","3M","The American Experiment","3","  AIDE  ","Lec","TR","1330-1445","MCM 114","White, Jonathan","0","Closed",
"8200","AMST 100","4M","The American Experiment","3","  AIDE  ","Lec","MWF","0800-0850","MCM 114","Staff, CNU","1","Open",
"8201","AMST 100","5M","The American Experiment","3","  AIDE  ","Lec","MWF","0900-0950","MCM 114","Staff, CNU","0","Closed",
"8202","AMST 100","6C","The American Experiment","3","  AIDE  ","Lec","TR","1800-1915","MCM 207","White, William","0","Closed",
"8203","AMST 100","7M","The American Experiment","3","  AIDE  ","Lec","TR","1930-2045","MCM 207","White, William","0","Closed",
"8204","AMST 120","1M","Encounters w/ the Constitution","3","  AIDE","Lec","TR","0930-1045","MCM 160","White, Jonathan","0","Closed",
"8205","AMST 200","1","Evolution-American Experiment","3","  AIWT","Lec","TR","1100-1215","MCM 257","Morrison, Jeffry","0","Closed",
"8206","AMST 200","2","Evolution-American Experiment","3","  AIWT","Lec","TR","1630-1745","MCM 257","Morrison, Jeffry","0","Closed",
"8207","AMST 300","1","The American Exp: Global Infl","3","  AIGM","Lec","MW","1930-2045","MCM 257","McCarthy, William","2","Open",
"9257","AMST 395","1","SPC TP: Music &amp; American Cultr","3","","Lec","MW","1600-1715","MCM 307","Morrison, Jeffry","7","Open",
"9258","AMST 395","2","SPC TP:Grnd Strat &amp; Amer Rep","3","","Lec","MW","1800-1915","MCM 257","McCarthy, William","10","Open",
"8208","AMST 490","1","WI: Capstone Sem-Amer Studies","3","  WI","Lec","TR","1930-2045","MCM 200C","Garmon, Frank","1","Open",
"8192","ANTH 200","1F","Human Adaptation","3","  AINW","Lec","MWF","1000-1050","LUTR 170","Loy, Christopher","0","Closed",
"8193","ANTH 200","2","Human Adaptation","3","  AINW","Lec","MWF","1100-1150","LUTR 269","Loy, Christopher","0","Closed",
"8194","ANTH 203","1C","Cultural Anthropology","3","  AIGM","Lec","MW","1600-1715","LUTR 170","Palmer, Seth","0","Closed",
"8195","ANTH 203","2","Cultural Anthropology","3","  AIGM","Lec","MW","1800-1915","LUTR 170","Palmer, Seth","1","Open",
"9294","ANTH 345","1","Forensic Anthropology","3","","Lec","TR","0930-1045"," ","Loy, Christopher","7","Open",
"8196","ANTH 365","1","Case Study in Culture","3","","Lec","T","1800-2045","LUTR 167","Palmer, Seth","8","Open",
"8678","ARAB 101","1","Beginning Arabic I","3","","Lec","MWF","1000-1050"," ","Obeid, Diana","13","Open",
"8679","ARAB 101","2","Beginning Arabic I","3","","Lec","MWF","1200-1250","MCM 257","Obeid, Diana","14","Open",
"8680","ARAB 201","1","Intermediate Arabic I","3","  LLFL","Lec","MWF","1300-1350","MCM 200B","Obeid, Diana","8","Open",
"8681","ARAB 201","2","Intermediate Arabic I","3","  LLFL","Lec","MWF","1400-1450","MCM 200B","Obeid, Diana","10","Open",
"9071","BCHM 414","1","Biochemistry I","3","","Lec","MWF","0800-0850","FORBES 2070E","Gruber, Todd","14","Open",
"9072","BCHM 414L","1","Biochemistry I Lab","1","","Lab","F","1300-1650","FORBES 1002","Thorsen, Amanda","16","Open",
"9073","BCHM 414L","2","Biochemistry I Lab","1","","Lab","M","1300-1650","FORBES 1002","Thorsen, Amanda","4","Open",
"8583","BIOL 107","1M","General Biology I","3","  AINW","Lec","TR","1800-1915","FORBES 1022","Crock, Forrest","0","Closed",
"8584","BIOL 109L","1","General Biology Laboratory","1","  AINW","Lab","M","1400-1550","FORBES 1027","Loftis, Jon","1","Open",
"8585","BIOL 109L","2","General Biology Laboratory","1","  AINW","Lab","M","1600-1750","FORBES 1027","Loftis, Jon","11","Open",
"8586","BIOL 109L","3","General Biology Laboratory","1","  AINW","Lab","M","1800-1950","FORBES 1027","Loftis, Jon","7","Open",
"8587","BIOL 109L","4","General Biology Laboratory","1","  AINW","Lab","M","2000-2150","FORBES 1027","Loftis, Jon","3","Open",
"8588","BIOL 109L","5","General Biology Laboratory","1","  AINW","Lab","T","1800-1950","FORBES 1027","Lundquist, Adam","10","Open",
"8589","BIOL 109L","6","General Biology Laboratory","1","  AINW","Lab","T","2000-2150","FORBES 1027","Lundquist, Adam","14","Open",
"8590","BIOL 109L","7","General Biology Laboratory","1","  AINW","Lab","R","2000-2150","FORBES 1027","Lundquist, Adam","18","Open",
"8591","BIOL 109L","8","General Biology Laboratory","1","  AINW","Lab","R","1800-1950","FORBES 1027","Lundquist, Adam","17","Open",
"8592","BIOL 113","1M","Topics in Medicine and Health","3","  AINW","Lec","MW","1800-1915","FORBES 1022","Staff, CNU","0","Closed",
"8593","BIOL 115","1M","Tpcs in Ecology &amp; Environment","3","  AINW","Lec","MW","1600-1715","FORBES 1022","Abraham, Barbara","1","Open",
"8594","BIOL 211","1M","Principles of Biology I","3","","Lec","TR","1100-1215","FORBES 2070E","Brown, Gwynne","0","Closed",
"8595","BIOL 211","2M","Principles of Biology I","3","","Lec","MWF","1400-1450","FORBES 2070D","Burket, Jessica","0","Closed",
"8596","BIOL 211","3M","Principles of Biology I","3","","Lec","MWF","1300-1350","FORBES 2070D","Salazar, Anna","0","Closed",
"8597","BIOL 211","4R","Principles of Biology I","3","","Lec","MWF","0900-0950","FORBES 2015","Mitrano, Darlene","2","Open",
"8764","BIOL 211L","1R","Principles of Biology I Lab","1","","Lab","M","1800-2150","FORBES 1009","Staff, CNU","0","Closed",
"8765","BIOL 211L","2R","Principles of Biology I Lab","1","","Lab","T","1800-2150","FORBES 1009","Staff, CNU","0","Closed",
"8766","BIOL 211L","3R","Principles of Biology I Lab","1","","Lab","R","1330-1720","FORBES 1009","Staff, CNU","0","Closed",
"8767","BIOL 211L","4","Principles of Biology I Lab","1","","Lab","T","1330-1720","FORBES 1009","Staff, CNU","0","Closed",
"8768","BIOL 211L","5R","Principles of Biology I Lab","1","","Lab","W","1800-2150","FORBES 1009","Staff, CNU","0","Closed",
"8769","BIOL 211L","6R","Principles of Biology I Lab","1","","Lab","R","1800-2150","FORBES 1009","Staff, CNU","0","Closed",
"8770","BIOL 211L","7R","Principles of Biology I Lab","1","","Lab","M","1300-1650","FORBES 1009","Tombolato-Terzic, Denise","0","Closed",
"9032","BIOL 212","1","Principles of Biology II","3","","Lec","TR","0930-1045","FORBES 2070D","Harwell, Heather","13","Open",
"9033","BIOL 212","2","Principles of Biology II","3","","Lec","TR","1100-1215","FORBES 2015","Meyer, Michael","12","Open",
"9034","BIOL 212","3","Principles of Biology II","3","","Lec","TR","0800-0915","FORBES 2014","Lattanzio, Matthew","15","Open",
"9035","BIOL 212L","1","Principles of Biology II Lab","1","","Lab","T","1330-1720","FORBES 1027","Haymond, Shauna","9","Open",
"9036","BIOL 212L","2","Principles of Biology II Lab","1","","Lab","W","0900-1250","FORBES 1027","Haymond, Shauna","15","Open",
"9037","BIOL 212L","3","Principles of Biology II Lab","1","","Lab","R","1330-1720","FORBES 1027","Haymond, Shauna","13","Open",
"9038","BIOL 212L","4","Principles of Biology II Lab","1","","Lab","T","1330-1720","FORBES 1002","Sinclair, Kathryn","2","Open",
"9039","BIOL 212L","5","Principles of Biology II Lab","1","","Lab","W","1300-1650","FORBES 1002","Sinclair, Kathryn","2","Open",
"9040","BIOL 213","1A","Principles in Biology III","3","","Lec","MWF","0900-0950","FORBES 1033","Ruane, Lauren; Collar, David","0","Closed",
"9041","BIOL 213","2B","Principles in Biology III","3","","Lec","MWF","0900-0950","FORBES 1039","Collar, David; Ruane, Lauren","15","Open",
"9042","BIOL 213","3A","Principles in Biology III","3","","Lec","MWF","1100-1150","FORBES 1033","Ruane, Lauren; Burke, Russell","7","Open",
"9043","BIOL 213","4B","Principles in Biology III","3","","Lec","MWF","1100-1150","FORBES 2070D","Burke, Russell; Ruane, Lauren","19","Open",
"9044","BIOL 213L","1A","Principles of Biology III Lab","1","","Lab","T","1330-1720","FORBES 1033","Steven, Janet; Burke, Russell","0","Closed",
"9045","BIOL 213L","2A","Principles of Biology III Lab","1","","Lab","R","0800-1150","FORBES 1033","Steven, Janet; Burke, Russell","8","Open",
"9046","BIOL 213L","3B","Principles of Biology III Lab","1","","Lab","R","1330-1720","FORBES 1039","Burke, Russell; Steven, Janet","2","Open",
"9047","BIOL 213L","4B","Principles of Biology III Lab","1","","Lab","T","1330-1720","FORBES 1039","Burke, Russell; Steven, Janet","11","Open",
"9048","BIOL 213L","5B","Principles of Biology III Lab","1","","Lab","R","0800-1150","FORBES 1039","Burke, Russell; Steven, Janet","20","Open",
"8784","BIOL 284","1","Fund Human Anatmy &amp; Phys I","3","","Lec","TR","1100-1215","FORBES 2070D","Knight, William","39","Open",
"8789","BIOL 284L","1","Fund Human Anatmy &amp; Phys Lab I","1","","Lab","M","1300-1650","FORBES 2056","Knight, William","16","Open",
"8790","BIOL 284L","2","Fund Human Anatmy &amp; Phys Lab I","1","","Lab","T","1330-1720","FORBES 2056","Knight, William","23","Open",
"8186","BIOL 300","1","Biostats-Statstcl App Life Sci","3","","Lec","TR","0800-0915","FORBES 2090","Velkey, Andrew","8","Open",
"8771","BIOL 301","1","Microbiology","3","","Lec","MWF","1000-1050","FORBES 2070E","Knies, Jennifer","8","Open",
"8772","BIOL 301","2","Microbiology","3","","Lec","MWF","1100-1150","FORBES 1002","Knies, Jennifer","1","Open",
"8773","BIOL 301L","1","Microbiology Laboratory","1","","Lab","M","1300-1650","FORBES 1015","Guidicelli-Gadea, Lourdes","0","Closed",
"8774","BIOL 301L","2","Microbiology Laboratory","1","","Lab","T","1330-1720","FORBES 1015","Guidicelli-Gadea, Lourdes","4","Open",
"8775","BIOL 301L","3","Microbiology Laboratory","1","","Lab","T","1800-2150","FORBES 1015","Guidicelli-Gadea, Lourdes","5","Open",
"9049","BIOL 306","1","Environmental Conservation","3","","Lec","MWF","1000-1050","FORBES 2051","Atkinson, Robert","0","Closed",
"9050","BIOL 306L","1","Environmental Conservation Lab","1","","Lab","W","1300-1650","FORBES 2051","Atkinson, Robert","4","Open",
"8776","BIOL 307","1","Cell Biology","3","","Lec","TR","0930-1045","FORBES 2070E","Meighan, Christopher","0","Closed",
"8777","BIOL 307","2","Cell Biology","3","","Lec","TR","0800-0915","FORBES 2070E","Meighan, Christopher","1","Open",
"8778","BIOL 307L","1","Cell Biology Laboratory","1","","Lab","W","1300-1650","FORBES 1015","Tombolato-Terzic, Denise","0","Closed",
"8779","BIOL 307L","2","Cell Biology Laboratory","1","","Lab","R","1330-1720","FORBES 1015","Tombolato-Terzic, Denise","0","Closed",
"8780","BIOL 307L","3","Cell Biology Laboratory","1","","Lab","F","1300-1650","FORBES 1015","Tombolato-Terzic, Denise","12","Open",
"8781","BIOL 313","1","Genetics","3","","Lec","TR","1800-1915","LUTR 121","Bogenpohl, James","50","Open",
"8782","BIOL 314","1","Human Anatomy/Physiology I","3","","Lec","TR","0800-0915","FORBES 1022","Grau, Harold","0","Closed",
"8783","BIOL 314","2","Human Anatomy/Physiology I","3","","Lec","TR","0930-1045","FORBES 2015","Knight, William","0","Closed",
"8785","BIOL 314L","1","Human Anatomy/Physiology I Lab","1","","Lab","R","1330-1720","FORBES 2056","Grau, Harold","6","Open",
"8786","BIOL 314L","2","Human Anatomy/Physiology I Lab","1","","Lab","W","1800-2150","FORBES 2056","Staff, CNU","0","Closed",
"8787","BIOL 314L","3","Human Anatomy/Physiology I Lab","1","","Lab","T","1800-2150","FORBES 2056","Staff, CNU","0","Closed",
"8788","BIOL 314L","4","Human Anatomy/Physiology I Lab","1","","Lab","W","1300-1650","FORBES 2056","Grau, Harold","4","Open",
"9051","BIOL 370","1","Macroevolution","3","","Lec","MWF","1200-1250","FORBES 2014","Collar, David","2","Open",
