CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"8004","ACCT 200","1","Accounting Concepts","3","","Lec","MWF","0900-0950","LUTR 139","Lingenfelter, Gabriele","4","Open",
"8005","ACCT 201","1","Prin of Account I: Financial","3","","Lec","MW","1600-1715","LUTR 139","Frucot, Veronique","2","Open",
"8006","ACCT 201","2","Prin of Account I: Financial","3","","Lec","MWF","0800-0850","LUTR 139","Lingenfelter, Gabriele","1","Open",
"8007","ACCT 201","3","Prin of Account I: Financial","3","","Lec","TR","1500-1615","LUTR 242","Frucot, Veronique","1","Open",
"8008","ACCT 202","1","Prin of Account II: Managerial","3","","Lec","MW","1600-1715","LUTR 242","Morris, Joseph","0","Closed",
"8009","ACCT 202","2","Prin of Account II: Managerial","3","","Lec","MWF","1000-1050","FORBES 2070A","Hutt, Melvyn","0","Closed",
"8010","ACCT 202","3","Prin of Account II: Managerial","3","","Lec","MWF","1100-1150","FORBES 2070A","Hutt, Melvyn","1","Open",
"8011","ACCT 202","4","Prin of Account II: Managerial","3","","Lec","MWF","1400-1450","LUTR 242","Hutt, Melvyn","0","Closed",
"8012","ACCT 202","5","Prin of Account II: Managerial","3","","Lec","MWF","1500-1550","LUTR 242","Hutt, Melvyn","0","Closed",
"8013","ACCT 202","6","Prin of Account II: Managerial","3","","Lec","TR","0800-0915","LUTR 139","Chung, Keun Ho","7","Open",
"8014","ACCT 202","7","Prin of Account II: Managerial","3","","Lec","TR","1500-1615","LUTR 139","Chung, Keun Ho","7","Open",
"8015","ACCT 202","8","Prin of Account II: Managerial","3","","Lec","TR","1630-1745","LUTR 242","Morris, Joseph","1","Open",
"8016","ACCT 301","1","Intermediate Accounting I","3","","Lec","TR","0930-1045","LUTR 242","Frucot, Veronique","10","Open",
"8017","ACCT 302","1","Intermediate Accounting II","3","","Lec","MWF","1200-1250","LUTR 139","Brooks, Abby-Gayle","3","Open",
"8018","ACCT 302","2","Intermediate Accounting II","3","","Lec","MWF","1300-1350","LUTR 139","Brooks, Abby-Gayle","3","Open",
"8019","ACCT 303","1","Cost/Managerial Accounting","3","","Lec","TR","1330-1445","LUTR 139","Chung, Keun Ho","0","Closed",
"8020","ACCT 401","1","Taxation","3","","Lec","TR","1800-1915","LUTR 170","Morris, Joseph","1","Open",
"8021","ACCT 402","1","Advanced Taxation","3","","Lec","MW","1800-1915","LUTR 139","Morris, Joseph","1","Open",
"8022","ACCT 404","1","Volunteer Income Tax Assist","1","","Int","","","ARR ","Lingenfelter, Gabriele","0","Closed",
"8023","ACCT 405","1","Auditing","3","","Lec","MWF","1100-1150","LUTR 131","Lingenfelter, Gabriele","5","Open",
"8024","ACCT 406","1","WI:Case Studies in Accounting","3","  WI","Lec","MWF","0800-0850","LUTR 131","Brooks, Abby-Gayle","9","Open",
"8025","ACCT 406","2","WI:Case Studies in Accounting","3","  WI","Lec","MWF","0900-0950","LUTR 131","Brooks, Abby-Gayle","0","Closed",
"8026","ACCT 451","1","Govt &amp; Nonprof Acctng &amp; Topics","3","","Lec","MW","1800-1915","LUTR 242","Frucot, Veronique","5","Open",
"8884","AMST 100","1","The American Experiment","3","  AIDE  ","Lec","TR","1100-1215","MCM 260","Morrison, Jeffry","0","Closed",
"8885","AMST 100","2","The American Experiment","3","  AIDE  ","Lec","MWF","1400-1450","MCM 262","Garmon, Frank","0","Closed",
"8886","AMST 100","3","The American Experiment","3","  AIDE  ","Lec","TR","1630-1745","MCM 162","White, William","1","Open",
"8887","AMST 100","4","The American Experiment","3","  AIDE  ","Lec","TR","0930-1045","MCM 260","Morrison, Jeffry","0","Closed",
"8890","AMST 100","7","The American Experiment","3","  AIDE  ","Lec","TR","1800-1915","MCM 160","White, William","0","Closed",
"8891","AMST 100","8","The American Experiment","3","  AIDE  ","Lec","MWF","1500-1550","MCM 360","Garmon, Frank","5","Open",
"9214","AMST 100","9","The American Experiment","3","  AIDE  ","Lec","MWF","0900-0950","MCM 216","Kaufer Busch, Elizabeth","1","Open",
"9249","AMST 120","1","Encounters w/ the Constitution","3","  AIDE","Lec","TR","1500-1615","MCM 262","White, Jonathan","1","Open",
"9250","AMST 120","2","Encounters w/ the Constitution","3","  AIDE","Lec","TR","1330-1445","MCM 262","White, Jonathan","1","Open",
"8892","AMST 200","1","Evolution-American Experiment","3","  AIWT","Lec","MWF","1000-1050","MCM 260","Kaufer Busch, Elizabeth","1","Open",
"8893","AMST 200","2","Evolution-American Experiment","3","  AIWT","Lec","MW","1800-1915","MCM 364","Kundmueller, Michelle","3","Open",
"8894","AMST 200","3","Evolution-American Experiment","3","  AIWT","Lec","MW","1930-2045","MCM 364","Kundmueller, Michelle","8","Open",
"8895","AMST 300","1","The American Exp: Global Infl","3","  AIGM","Lec","MWF","1200-1250","MCM 300D","McCarthy, William","4","Open",
"8896","AMST 300","2","The American Exp: Global Infl","3","  AIGM","Lec","MWF","1300-1350","MCM 300D","McCarthy, William","1","Open",
"9216","AMST 335","1","WI: Moot Court","3","  WI","Lec","T","1800-2100","MCM 360","Kundmueller, Michelle","3","Open",
