CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"8737","MATH 247","2","Intro Ordinary Differential Eq","3","  LLFM","Lec","MWF","1400-1450","FORBES 3012","Samuels, Charles","25","Open",
"8738","MATH 250","1","Multivariable Calculus","3","  LLFM","Lec","MWF","1200-1250","LUTR 376","Carpenter, Ryan","25","Open",
"8739","MATH 260","1","Linear Algebra","3","  LLFM","Lec","MWF","1000-1050","LUTR 376","Perry, James","25","Open",
"8740","MATH 260","2","Linear Algebra","3","  LLFM","Lec","TR","0930-1045","LUTR 264","Williams, Marla","25","Open",
"8741","MATH 301","1","WI: Writing in Mathematics","1","  LLFM  WI","Lec","R","0800-0850","LUTR 352","Kelly, James","12","Open",
"8742","MATH 303","1","WI: Mathematics in Context","1","  LLFM  WI","Lec","W","1300-1350","LUTR 352","Carpenter, Ryan","12","Open",
"8743","MATH 345","1","Number Theory","3","  LLFM","Lec","MWF","0900-0950","LUTR 264","Kennedy, Christopher","25","Open",
"8744","MATH 347","1","Intermediate Differential Equa","3","  LLFM","Lec","MWF","1400-1450","LUTR 347","Kelly, Jessica","29","Open",
"8749","MATH 350","1","Vector Calculus","3","  LLFM","Lec","MWF","1100-1150","LUTR 142","Dobrescu, Mihaela","25","Open",
"8751","MATH 360","1","Real Analysis I","3","  LLFM","Lec","MWF","0800-0850","LUTR 142","Kelly, James","25","Open",
"8754","MATH 375","1","Linear Algebra/Its Application","3","  LLFM","Lec","TR","1330-1445","LUTR 352","Samuels, Charles","19","Open",
"8756","MATH 378","1","Elmntry Geomtry frm Adv Viewpt","3","  LLFM","Lec","TR","0930-1045","LUTR 269","Kuster, George","25","Open",
"8759","MATH 435","1","Mathematical Statistics","3","  LLFM","Lec","MWF","1000-1050","TFAC 205","Martin, James","25","Open",
"8761","MATH 440","1","Mathematical Modeling","3","  LLFM","Lec","TR","1100-1215","LUTR 347","Panayotova, Iordanka","25","Open",
"8763","MATH 451","1","Independent Learning Experienc","1","  LLFM","Lec","F","1300-1350","LUTR 352","Kelly, Jessica","12","Open",
"8766","MATH 470","1","Modern Algebra II","3","  LLFM","Lec","MWF","1200-1250","LUTR 139","Samuels, Charles","25","Open",
"8124","MGMT 310","1","Leadership in Business","3","","Lec","MW","1600-1715","LUTR 170","Schwartz, Shoshana","24","Open",
"8125","MGMT 310","2","Leadership in Business","3","","Lec","TR","1330-1445","LUTR 170","Schwartz, Shoshana","24","Open",
"8126","MGMT 310","3","Leadership in Business","3","","Lec","TR","1500-1615","LUTR 170","Schwartz, Shoshana","24","Open",
"8127","MGMT 355","1","Management Science","3","","Lec","MWF","0900-0950","LUTR 105","Kirac, Emre","19","Open",
"8128","MGMT 355","2","Management Science","3","","Lec","MWF","1000-1050","LUTR 105","Kirac, Emre","24","Open",
"9249","MGMT 355","3","Management Science","3","","Lec","MWF","1400-1450","LUTR 105","Kirac, Emre","19","Open",
"8129","MGMT 450","1","Advanced Data Analytics","3","","Lab","MWF","1400-1450","LUTR 131","Shaltayev, Dmitriy","18","Open",
"9258","MGMT 455","1","Leadership Assessment &amp; Devel","3","","Lec","R","1800-2045","LUTR 142","Spranger, Angela","19","Open",
"8130","MGMT 491","1","WI: Senior Sem in Management","3","  WI","Lec","TR","1330-1445","LUTR 131","Donaldson, William","15","Open",
"8131","MGMT 491","2","WI: Senior Sem in Management","3","  WI","Lec","TR","1100-1215","LUTR 137","Ficht, Linda","15","Open",
"9250","MGMT 491","3","WI: Senior Sem in Management","3","  WI","Lec","MWF","0900-0950","LUTR 242","Walker, Scott","15","Open",
"8116","MKTG 310","1","Interactive Marketing","3","","Lec","TR","1100-1215","LUTR 109","Kim, Dae-Hee","19","Open",
"8117","MKTG 310","2","Interactive Marketing","3","","Lec","TR","0930-1045","LUTR 109","Kim, Dae-Hee","19","Open",
"8118","MKTG 330","1","WI:Digital Marketing","3","  WI","Lec","MWF","1100-1150","MCM 110","Hettche, Matthew","19","Open",
"8119","MKTG 330","2","WI:Digital Marketing","3","  WI","Lec","MWF","1200-1250","MCM 110","Hettche, Matthew","19","Open",
"8121","MKTG 420","1","Consumer Research","3","","Lec","MWF","0900-0950","LUTR 109","Hettche, Matthew","24","Open",
"9255","MKTG 420","2","Consumer Research","3","","Lec","TR","1500-1615","LUTR 105","Kim, Dae-Hee","19","Open",
"8122","MKTG 470","1","Interactive Mktg Strategy","3","","Lec","TR","1100-1215","LUTR 142","Spiller, Lisa","34","Open",
"8123","MKTG 470","2","Interactive Mktg Strategy","3","","Lec","TR","0930-1045","LUTR 142","Spiller, Lisa","34","Open",
"9082","MLAN 206","1","The Drama-English Translation","3","  AIWT","Lec","TR","0930-1045","MCM 364","Miller, Elaine","24","Open",
"9084","MLAN 220","1","Gender in the Arab World","3","  AIGM","Lec","MWF","1400-1450","FERG 207","Obeid, Diana","19","Open",
"9087","MLAN 308","1","Cross Cultural Awareness","3","  AIGM","Lec","MWF","1100-1150","MCM 316","Siewe Seuchie, Patricia","24","Open",
"9088","MLAN 308","2","Cross Cultural Awareness","3","  AIGM","Lec","TR","1330-1445","MCM 316","Varo Varo, Alonso","24","Open",
"9089","MLAN 310","1","WI:Texts in Context","3","  AICE  WI","Lec","TR","1100-1215","MCM 357","Larson, Sharon","19","Open",
"9090","MLAN 311","1","Teaching English to Speakers","3","","Lec","MWF","1200-1250","MCM 360","Grau, Michelle","19","Open",
"9010","MLAN 511","1","Advanced Strategies in TESOL","3","","Lec","T","1630-1915","MCM 200D","Grau, Michelle","18","Open",
"8866","MLSC 102","1","Intro to Tactical Leadership","2","","Lec","TR","0800-0915","MCM 112","Sturtz, Austin","29","Open",
"8867","MLSC 102L","1","Leadership Lab","1","","Lab","W","1500-1715","MCM 112","Sturtz, Austin","29","Open",
"8868","MLSC 202","1","Foundat of Tactical Leadership","2","","Lec","TR","0930-1045","MCM 112","Jones, Justin","24","Open",
"8869","MLSC 202L","1","Leadership Lab","1","","Lab","W","1500-1745","MCM 112","Jones, Justin","24","Open",
"8870","MLSC 302","1","Ldshp in Changing Environments","3","","Lec","TR","1100-1215","MCM 112","Relation, Brian","24","Open",
"8871","MLSC 302L","1","Leadership Lab","1","","Lab","W","1500-1745","MCM 112","Relation, Brian","24","Open",
"8872","MLSC 402","1","Leadership in a Complex World","3","","Lec","TR","1330-1445","MCM 112","Finch, Jason","10","Open",
"8873","MLSC 402L","1","Leadership Lab","1","","Lab","W","1500-1745","MCM 112","Finch, Jason","10","Open",
"8273","MUSC 012","1","Performance Attendance","0","","Fie","","","ARR ","Reimer, Mark","99","Open",
"8274","MUSC 014","1","Clarinet Masterclass","0","","Lab","","","ARR ","Byerly, Michael","0","Closed",
"8283","MUSC 014","10","Strings Masterclass","0","","Lab","","","ARR ","Pike, Anastasia","0","Closed",
"8284","MUSC 014","11","Trumpet Masterclass","0","","Lab","W","1200-1250","FERG R106","Rossum, Kelly","0","Closed",
"8285","MUSC 014","12","Euphonium Masterclass","0","","Lab","","","ARR ","Cipriano, James","0","Closed",
"8286","MUSC 014","13","Bassoon Masterclass","0","","Lab","","","ARR ","Savige, David","0","Closed",
"8287","MUSC 014","14","Horn Masterclass","0","","Lab","","","ARR ","Staff, CNU","0","Closed",
"8288","MUSC 014","15","Trombone Masterclass","0","","Lab","","","ARR ","Espy, Christopher","0","Closed",
"8275","MUSC 014","2","Composition Masterclass","0","","Lab","W","1200-1250","FERG 213","Tfirn, Maxwell","0","Closed",
"8276","MUSC 014","3","Percussion Masterclass","0","","Lab","","","ARR ","Jacobson, James","0","Closed",
"8277","MUSC 014","4","Piano Masterclass","0","","Lab","R","1230-1320","FERG R118","Corbin, Benjamin","0","Closed",
"8278","MUSC 014","5","Strings Masterclass","0","","Lab","","","ARR ","Tews, Jacob","0","Closed",
"8279","MUSC 014","6","Voice Masterclass","0","","Lab","","","ARR ","McGuire, John","0","Closed",
"8280","MUSC 014","7","Woodwinds Masterclass","0","","Lab","","","ARR ","Hammers, Jason","0","Closed",
"8281","MUSC 014","8","Woodwinds Masterclass","0","","Lab","","","ARR ","Longmire, Kelly","0","Closed",
"8282","MUSC 014","9","Woodwinds Masterclass","0","","Lab","","","ARR ","Kim, Bokyung","0","Closed",
"8289","MUSC 100","1","University Chorale","1","  AICE","Lab","TR","1630-1745","FERG R118","Irving, John","49","Open",
"8290","MUSC 101","1","Wind Ensemble","1","  AICE","Lab","TR","1630-1820","FERG R106","Reimer, Mark","49","Open",
"8292","MUSC 102","1","University Orchestra","1","  AICE","Lab","TR","1900-2050","FERG R106","Tews, Jacob","49","Open",
"8293","MUSC 103","1","Jazz Ensemble","1","  AICE","Lab","MWF","1300-1350","FERG R106","Rossum, Kelly","25","Open",
"8294","MUSC 104","1","Chamber Ensemble","1","","Lab","MF","1200-1250","FERG 213","Tfirn, Maxwell","12","Open",
"8295","MUSC 104","2","Chamber Ensemble","1","","Lab","F","1600-1750","FERG R106","Lopez, John","25","Open",
"8296","MUSC 104","3","Chamber Ensemble","1","","Lab","WF","1100-1150","FERG R106","Corbin, Benjamin","29","Open",
"8297","MUSC 105","1","Chamber Choir","1","  AICE","Lab","MWF","1300-1430","FERG R118","Irving, John","0","Closed",
"8298","MUSC 108","1","Jazz Combo","1","","Lab","T","1930-2130","FERG R118","Sully, Ballard","18","Open",
"8299","MUSC 114","1","University Band","1","  AICE","Lab","MW","1600-1750","FERG R106","Lopez, John","0","Closed",
"8300","MUSC 116","1","Elementary Keyboard Skills","1","","Lab","TR","0800-0915","FERG 213","Tomassetti, Elizabeth","13","Open",
"8301","MUSC 116","2","Elementary Keyboard Skills","1","","Lab","TR","1100-1215","FERG 213","Tomassetti, Elizabeth","13","Open",
"8328","MUSC 122","1","String Chamber Music","1","","Lab","","","ARR ","Tews, Jacob","19","Open",
"8302","MUSC 123","1","Pep Band","0 - 1","","Lab","W","2000-2200","FERG R106","Lopez, John","165","Open",
"8303","MUSC 124","1","Percussion Ensemble","1","","Lab","MWF","1500-1550","FERG R106","Amman, Scott","19","Open",
"8304","MUSC 127","1","Ensemble Accompanying","1","","Lab","","","ARR ","Corbin, Benjamin","19","Open",
"8305","MUSC 136","1","Elements of Music: Music Thtr","3","","Lec","MWF","0900-0950","FERG 207","Staff, CNU","19","Open",
"8306","MUSC 137","1","Intro to Music Education","1","","Lab","TR","1330-1445","FERG A182","Ankney, Kimberly","19","Open",
"8307","MUSC 139","1","Adv Keyboard Skills: Musc Thea","1","","Lab","TR","1630-1745","FERG 213","Kim, Seung-Hye","13","Open",
"8308","MUSC 139","2","Adv Keyboard Skills: Musc Thea","1","","Lab","TR","1500-1615","FERG 213","Kim, Seung-Hye","13","Open",
"8309","MUSC 144","1","Aural Skills II: Music Theatre","1","","Lab","TR","1100-1215","FERG 207","Lundgren, Carl","19","Open",
"8310","MUSC 200","1","Music Technology","1","","Lec","MWF","1100-1150","FERG 213","Tfirn, Maxwell","13","Open",
"8311","MUSC 210","1","Elementary Aural Skills II","1","","Lab","TR","0930-1045","FERG 210","Staff, CNU","19","Open",
"8312","MUSC 212","1","Diatonic Harmony &amp; Tonicizatio","3","","Lec","MWF","1000-1050","FERG 210","Hamm, Chelsey","19","Open",
"8314","MUSC 216","2","Advanced Keyboard Skills","1","","Lab","TR","1330-1445","FERG 213","Kim, Seung-Hye","13","Open",
"8315","MUSC 230","1","Woodwind Instrument Techniques","1","","Lab","MWF","0900-0950","FERG A183","Chieffo, Eugene","19","Open",
"8316","MUSC 250","1","String Instrument Techniques","1","","Lab","TR","1500-1615","FERG A182","Ankney, Kimberly","19","Open",
"8317","MUSC 266","1","Foreign Language Diction II","1","","Lec","MWF","1100-1150","FERG A183","Pritchard, John","19","Open",
"8318","MUSC 304","1","History of Western Music II","3","","Lec","TR","0930-1045","FERG A183","Doleac, Benjamin","19","Open",
"8319","MUSC 306","1","Global Transformations","3","  AIGM","Lec","TR","1330-1445","FERG A183","Doleac, Benjamin","19","Open",
"8320","MUSC 310","1","Advanced Aural Skills II","1","","Lab","TR","1100-1215","FERG A183","Tews, Jacob","19","Open",
"8321","MUSC 312","1","Extend Tonal Tech, Lrg Frms,","3","","Lec","MWF","1100-1150","FERG 210","Hamm, Chelsey","19","Open",
"8322","MUSC 315","1","Aesthtcs &amp; Techniqs Music Tech","3","  AICE","Lec","MWF","1000-1050","FERG 213","Tfirn, Maxwell","13","Open",
"8323","MUSC 394","1","Keyboard Literature &amp; Pedagogy","3","","Lec","MWF","1500-1550","FERG R118","Corbin, Benjamin","19","Open",
"8325","MUSC 397","1","Brass Literature and Pedagogy","3","","Lec","MWF","1000-1050","FERG R118","Rossum, Kelly","19","Open",
"8327","MUSC 413","1","Counterpoint","3","","Lec","MWF","0900-0950","FERG 210","Hamm, Chelsey","19","Open",
"9246","MUSC 416","1","Jazz Composition &amp; Arranging","3","","Lec","MWF","1400-1450","FERG 213","Rossum, Kelly","13","Open",
"8324","MUSC 417","1","Studio Production","3","","Lec","TR","1330-1445","FERG R118","Tfirn, Maxwell","13","Open",
"8329","MUSC 490","1","WI:Falk Sem Music Hist Rsrch","3","  WI","Lec","TR","1500-1615","FERG A183","Doleac, Benjamin","19","Open",
"8326","MUSC 496","1","Vocal Pedagogy","3","","Lec","MWF","1100-1150","FERG R118","Holland, Rachel","19","Open",
"8291","MUSC 517","1","Secondary Instrumental Methods","3","","Lec","TR","1100-1215","FERG A182","Lopez, John","18","Open",
"8639","NEUR 201","1","Introduction of Neuroscience","3","","Lec","MWF","1400-1450","FORBES 2070E","Salazar, Anna","46","Open",
"8779","NEUR 300","1","Biostats-Statstcl App Life Sci","3","","Lec","TR","0800-0915","FORBES 2090","Velkey, Andrew","23","Open",
"8775","NEUR 301","1","WI: Research Mthds Neuroscienc","4","  WI","Lec","MWF","1000-1050","FORBES 2015","Campolattaro, Matthew","38","Open",
"8776","NEUR 301L","1","Research Mthds in Neur Lab","0","","Lab","M","1300-1545","FORBES 2002","Campolattaro, Matthew","19","Open",
"8777","NEUR 301L","2","Research Mthds in Neur Lab","0","","Lab","W","1300-1545","FORBES 2002","Campolattaro, Matthew","19","Open",
"8641","NEUR 305","1","Neurobiology","3","","Lec","MWF","1000-1050","FORBES 2070D","Burket, Jessica","27","Open",
"8778","NEUR 316","1","Brain and Cognition","3","","Lec","MWF","1200-1250","FORBES 2070D","Rollins, Leslie","19","Open",
"8780","NEUR 360","1","Neuroendocrinology","3","","Lec","MWF","0900-0950","FORBES 2070C","Velkey, Andrew","39","Open",
"8643","NEUR 420","1","Neuroanatomy","3","","Lec","TR","1330-1445","FORBES 2070C","Mitrano, Darlene","39","Open",
"8646","NEUR 490","1","WI:Senior Sem in Neuroscience","3","  WI","Lec","TR","1630-1745","FORBES 2012","Burket, Jessica","17","Open",
"9251","NEUR 495","1","SPC TP: Molculr &amp; Cell Bio Agn","3","","Lec","MWF","1000-1050","FORBES 2012","Salazar, Anna","10","Open",
"8452","NSCI 310","1","The Study of Science","3","","Lec","W","1700-1945","MCM 216","Byron, Tami","48","Open",
"8161","PCSE 572","1","Intro to Robotics","3","","Lec","MWF","1500-1550","LUTR 170","Conner, David","6","Open",
"8162","PCSE 579","1","Problem Solving &amp; Presentation","1","","Lec","M","1300-1350","LUTR 323","Gore, David","19","Open",
"9229","PCSE 595","1","SPC TP: Machine Learning","3","","Lec","MWF","1400-1450","LUTR 170","Henry, Samuel","14","Open",
"8163","PCSE 699","1","Thesis Research","1 - 9","","Ind","M","1200-1250","LUTR 322","Monaghan, Peter","29","Open",
"8663","PHIL 101","1","Critical Thinking I","3","  LLFR","Lec","MW","1800-1915","MCM 200C","Pacella, Michael","18","Open",
"8665","PHIL 101","2","Critical Thinking I","3","  LLFR","Lec","MWF","1500-1550","MCM 164","Pacella, Michael","18","Open",
"8666","PHIL 101","3","Critical Thinking I","3","  LLFR","Lec","MWF","1300-1350","MCM 216","Pacella, Michael","18","Open",
"8669","PHIL 101","4","Critical Thinking I","3","  LLFR","Lec","W","1930-2215","MCM 360","Barber, Carey","18","Open",
"8672","PHIL 201","1","Ancient and Medieval Phil","3","  AIGM","Lec","TR","1100-1215","MCM 162","Davidson, James","25","Open",
"8673","PHIL 201","2","Ancient and Medieval Phil","3","  AIGM","Lec","TR","0800-0915","MCM 162","Davidson, James","25","Open",
"8674","PHIL 201","3","Ancient and Medieval Phil","3","  AIGM","Lec","MWF","0900-0950","MCM 260","Jelinek, Elizabeth","25","Open",
"8676","PHIL 201","4","Ancient and Medieval Phil","3","  AIGM","Lec","MWF","1000-1050","MCM 260","Jelinek, Elizabeth","25","Open",
"8678","PHIL 202","1","Modern Philosophy","3","  AIWT","Lec","TR","0930-1045","MCM 162","Davidson, James","18","Open",
"8680","PHIL 202","3","Modern Philosophy","3","  AIWT","Lec","TR","1800-1915","MCM 366","Staff, CNU","18","Open",
"8681","PHIL 202","4","Modern Philosophy","3","  AIWT","Lec","TR","1330-1445","MCM 200B","Strehle, Stephen","18","Open",
"8702","PHIL 203","1","19th/20th Century Philosophy","3","  AIWT","Lec","MW","1600-1715","MCM 366","Balay, Joey","18","Open",
"8704","PHIL 205","1","The Anatomy of Thought","3","  LLFR","Lec","MWF","1100-1150","MCM 160","Silverman, Eric","25","Open",
"8706","PHIL 205","2","The Anatomy of Thought","3","  LLFR","Lec","MWF","1200-1250","MCM 160","Silverman, Eric","25","Open",
"8709","PHIL 207","1","Ethical Issues in Business","3","  LLFR","Lec","TR","1100-1215","MCM 216","Tweedt, Christopher","25","Open",
"8710","PHIL 207","2","Ethical Issues in Business","3","  LLFR","Lec","TR","1330-1445","MCM 262","Tweedt, Christopher","25","Open",
"8712","PHIL 207","3","Ethical Issues in Business","3","  LLFR","Lec","TR","1500-1615","MCM 312","Martin, Edwin","25","Open",
"8713","PHIL 207","4","Ethical Issues in Business","3","  LLFR","Lec","TR","1100-1215","MCM 262","Staff, CNU","25","Open",
"9223","PHIL 207","5","Ethical Issues in Business","3","  LLFR","Lec","TR","1630-1745","MCM 312","Martin, Edwin","18","Open",
